[I 2023-08-14 14:14:09,402] A new study created in memory with name: no-name-4bc40c69-5cfb-4fc7-ab69-d4cc34c1101c
[I 2023-08-14 14:15:25,949] Trial 0 finished with value: 0.6924720000000001 and parameters: {'alpha': 4, 'beta': 1.5, 'actor_l2_in': 128, 'actor_l3_in': 64, 'critic_l2_in': 256, 'critic_l3_in': 128, 'actor_lr': 0.0004}. Best is trial 0 with value: 0.6924720000000001.
[I 2023-08-14 14:29:45,497] Trial 11 finished with value: 0.8001699999999999 and parameters: {'alpha': 2, 'beta': 2.0, 'actor_l2_in': 64, 'actor_l3_in': 64, 'critic_l2_in': 192, 'critic_l3_in': 192, 'actor_lr': 0.0003}. Best is trial 5 with value: 0.811786.
[I 2023-08-14 14:31:01,211] Trial 12 finished with value: 0.7444659999999999 and parameters: {'alpha': 2, 'beta': 2.0, 'actor_l2_in': 128, 'actor_l3_in': 256, 'critic_l2_in': 192, 'critic_l3_in': 192, 'actor_lr': 0.0003}. Best is trial 5 with value: 0.811786.
[I 2023-08-14 14:32:18,181] Trial 13 finished with value: 0.7440599999999999 and parameters: {'alpha': 2, 'beta': 2.0, 'actor_l2_in': 64, 'actor_l3_in': 128, 'critic_l2_in': 256, 'critic_l3_in': 256, 'actor_lr': 0.0007}. Best is trial 5 with value: 0.811786.
[I 2023-08-14 14:33:33,627] Trial 14 finished with value: 0.534648 and parameters: {'alpha': 2, 'beta': 2.0, 'actor_l2_in': 192, 'actor_l3_in': 64, 'critic_l2_in': 192, 'critic_l3_in': 192, 'actor_lr': 0.0009}. Best is trial 5 with value: 0.811786.
[I 2023-08-14 14:34:50,120] Trial 15 finished with value: 0.7769039999999999 and parameters: {'alpha': 2, 'beta': 2.0, 'actor_l2_in': 64, 'actor_l3_in': 64, 'critic_l2_in': 192, 'critic_l3_in': 192, 'actor_lr': 0.0001}. Best is trial 5 with value: 0.811786.
[I 2023-08-14 14:36:08,028] Trial 16 finished with value: 0.8058819999999999 and parameters: {'alpha': 2, 'beta': 2.0, 'actor_l2_in': 128, 'actor_l3_in': 64, 'critic_l2_in': 256, 'critic_l3_in': 256, 'actor_lr': 0.0003}. Best is trial 5 with value: 0.811786.
[I 2023-08-14 14:37:26,795] Trial 17 finished with value: 0.586862 and parameters: {'alpha': 2, 'beta': 2.0, 'actor_l2_in': 128, 'actor_l3_in': 128, 'critic_l2_in': 256, 'critic_l3_in': 256, 'actor_lr': 0.0009}. Best is trial 5 with value: 0.811786.
[I 2023-08-14 14:38:44,620] Trial 18 finished with value: 0.731518 and parameters: {'alpha': 2, 'beta': 2.0, 'actor_l2_in': 128, 'actor_l3_in': 256, 'critic_l2_in': 256, 'critic_l3_in': 256, 'actor_lr': 0.0007}. Best is trial 5 with value: 0.811786.
[I 2023-08-14 14:40:02,997] Trial 19 finished with value: 0.73896 and parameters: {'alpha': 2, 'beta': 2.0, 'actor_l2_in': 128, 'actor_l3_in': 64, 'critic_l2_in': 256, 'critic_l3_in': 256, 'actor_lr': 0.0001}. Best is trial 5 with value: 0.811786.
[I 2023-08-14 14:41:23,604] Trial 20 finished with value: 0.72232 and parameters: {'alpha': 2, 'beta': 1.5, 'actor_l2_in': 256, 'actor_l3_in': 64, 'critic_l2_in': 64, 'critic_l3_in': 64, 'actor_lr': 0.0008}. Best is trial 5 with value: 0.811786.
[I 2023-08-14 14:42:40,524] Trial 21 finished with value: 0.74391 and parameters: {'alpha': 2, 'beta': 2.0, 'actor_l2_in': 64, 'actor_l3_in': 64, 'critic_l2_in': 256, 'critic_l3_in': 192, 'actor_lr': 0.0003}. Best is trial 5 with value: 0.811786.
[I 2023-08-14 14:43:55,109] Trial 22 finished with value: 0.7997299999999999 and parameters: {'alpha': 2, 'beta': 2.0, 'actor_l2_in': 192, 'actor_l3_in': 64, 'critic_l2_in': 128, 'critic_l3_in': 256, 'actor_lr': 0.0003}. Best is trial 5 with value: 0.811786.
[I 2023-08-14 14:45:14,623] Trial 23 finished with value: 0.7654159999999999 and parameters: {'alpha': 2, 'beta': 2.0, 'actor_l2_in': 128, 'actor_l3_in': 64, 'critic_l2_in': 192, 'critic_l3_in': 128, 'actor_lr': 0.0003}. Best is trial 5 with value: 0.811786.
[I 2023-08-14 14:46:32,920] Trial 24 finished with value: 0.7912100000000001 and parameters: {'alpha': 2, 'beta': 2.0, 'actor_l2_in': 64, 'actor_l3_in': 64, 'critic_l2_in': 192, 'critic_l3_in': 128, 'actor_lr': 0.0005}. Best is trial 5 with value: 0.811786.
[I 2023-08-14 14:47:48,816] Trial 25 finished with value: 0.5407019999999999 and parameters: {'alpha': 2, 'beta': 2.0, 'actor_l2_in': 128, 'actor_l3_in': 64, 'critic_l2_in': 256, 'critic_l3_in': 192, 'actor_lr': 0.0009}. Best is trial 5 with value: 0.811786.
[I 2023-08-14 14:49:04,303] Trial 26 finished with value: 0.78672 and parameters: {'alpha': 4, 'beta': 2.0, 'actor_l2_in': 192, 'actor_l3_in': 192, 'critic_l2_in': 128, 'critic_l3_in': 256, 'actor_lr': 0.0003}. Best is trial 5 with value: 0.811786.
[I 2023-08-14 14:50:21,834] Trial 27 finished with value: 0.795734 and parameters: {'alpha': 2, 'beta': 2.0, 'actor_l2_in': 256, 'actor_l3_in': 128, 'critic_l2_in': 64, 'critic_l3_in': 64, 'actor_lr': 0.0003}. Best is trial 5 with value: 0.811786.
[I 2023-08-14 14:51:44,494] Trial 28 finished with value: 0.6957220000000001 and parameters: {'alpha': 2, 'beta': 1.5, 'actor_l2_in': 192, 'actor_l3_in': 256, 'critic_l2_in': 192, 'critic_l3_in': 256, 'actor_lr': 0.0009}. Best is trial 5 with value: 0.811786.
[I 2023-08-14 14:52:59,585] Trial 29 finished with value: 0.708232 and parameters: {'alpha': 4, 'beta': 2.0, 'actor_l2_in': 128, 'actor_l3_in': 64, 'critic_l2_in': 256, 'critic_l3_in': 128, 'actor_lr': 0.0004}. Best is trial 5 with value: 0.811786.
[I 2023-08-14 14:54:16,760] Trial 30 finished with value: 0.800944 and parameters: {'alpha': 2, 'beta': 1.5, 'actor_l2_in': 64, 'actor_l3_in': 64, 'critic_l2_in': 128, 'critic_l3_in': 192, 'actor_lr': 0.0003}. Best is trial 5 with value: 0.811786.
[I 2023-08-14 14:55:34,611] Trial 31 finished with value: 0.793798 and parameters: {'alpha': 2, 'beta': 1.5, 'actor_l2_in': 64, 'actor_l3_in': 64, 'critic_l2_in': 128, 'critic_l3_in': 192, 'actor_lr': 0.0003}. Best is trial 5 with value: 0.811786.
[I 2023-08-14 14:56:50,795] Trial 32 finished with value: 0.764546 and parameters: {'alpha': 2, 'beta': 1.5, 'actor_l2_in': 64, 'actor_l3_in': 64, 'critic_l2_in': 128, 'critic_l3_in': 192, 'actor_lr': 0.0003}. Best is trial 5 with value: 0.811786.
[I 2023-08-14 14:58:08,748] Trial 33 finished with value: 0.790386 and parameters: {'alpha': 2, 'beta': 1.5, 'actor_l2_in': 64, 'actor_l3_in': 64, 'critic_l2_in': 128, 'critic_l3_in': 192, 'actor_lr': 0.0002}. Best is trial 5 with value: 0.811786.
[I 2023-08-14 14:59:27,473] Trial 34 finished with value: 0.732324 and parameters: {'alpha': 2, 'beta': 1.5, 'actor_l2_in': 64, 'actor_l3_in': 192, 'critic_l2_in': 128, 'critic_l3_in': 128, 'actor_lr': 0.0008}. Best is trial 5 with value: 0.811786.
[I 2023-08-14 15:00:46,027] Trial 35 finished with value: 0.742054 and parameters: {'alpha': 4, 'beta': 2.5, 'actor_l2_in': 192, 'actor_l3_in': 64, 'critic_l2_in': 128, 'critic_l3_in': 128, 'actor_lr': 0.0004}. Best is trial 5 with value: 0.811786.
[I 2023-08-14 15:02:01,244] Trial 36 finished with value: 0.759076 and parameters: {'alpha': 2, 'beta': 1.5, 'actor_l2_in': 64, 'actor_l3_in': 64, 'critic_l2_in': 64, 'critic_l3_in': 192, 'actor_lr': 0.0006}. Best is trial 5 with value: 0.811786.
[I 2023-08-14 15:03:22,320] Trial 37 finished with value: 0.76745 and parameters: {'alpha': 4, 'beta': 2.5, 'actor_l2_in': 192, 'actor_l3_in': 64, 'critic_l2_in': 128, 'critic_l3_in': 128, 'actor_lr': 0.0003}. Best is trial 5 with value: 0.811786.
[I 2023-08-14 15:04:36,871] Trial 38 finished with value: 0.7775299999999999 and parameters: {'alpha': 2, 'beta': 1.5, 'actor_l2_in': 128, 'actor_l3_in': 192, 'critic_l2_in': 128, 'critic_l3_in': 192, 'actor_lr': 0.0002}. Best is trial 5 with value: 0.811786.
[I 2023-08-14 15:05:58,672] Trial 39 finished with value: 0.578272 and parameters: {'alpha': 4, 'beta': 2.5, 'actor_l2_in': 256, 'actor_l3_in': 64, 'critic_l2_in': 256, 'critic_l3_in': 64, 'actor_lr': 0.0005}. Best is trial 5 with value: 0.811786.
[I 2023-08-14 15:07:17,375] Trial 40 finished with value: 0.8169939999999999 and parameters: {'alpha': 2, 'beta': 2.0, 'actor_l2_in': 64, 'actor_l3_in': 128, 'critic_l2_in': 128, 'critic_l3_in': 128, 'actor_lr': 0.0006}. Best is trial 40 with value: 0.8169939999999999.
[I 2023-08-14 15:08:34,027] Trial 41 finished with value: 0.808514 and parameters: {'alpha': 2, 'beta': 2.0, 'actor_l2_in': 64, 'actor_l3_in': 128, 'critic_l2_in': 128, 'critic_l3_in': 128, 'actor_lr': 0.0006}. Best is trial 40 with value: 0.8169939999999999.
[I 2023-08-14 15:09:51,299] Trial 42 finished with value: 0.8058379999999999 and parameters: {'alpha': 2, 'beta': 2.0, 'actor_l2_in': 64, 'actor_l3_in': 128, 'critic_l2_in': 128, 'critic_l3_in': 128, 'actor_lr': 0.0006}. Best is trial 40 with value: 0.8169939999999999.
[I 2023-08-14 15:11:11,303] Trial 43 finished with value: 0.7261719999999999 and parameters: {'alpha': 2, 'beta': 2.0, 'actor_l2_in': 64, 'actor_l3_in': 128, 'critic_l2_in': 128, 'critic_l3_in': 128, 'actor_lr': 0.0006}. Best is trial 40 with value: 0.8169939999999999.
[I 2023-08-14 15:12:29,860] Trial 44 finished with value: 0.75519 and parameters: {'alpha': 2, 'beta': 2.0, 'actor_l2_in': 64, 'actor_l3_in': 128, 'critic_l2_in': 128, 'critic_l3_in': 128, 'actor_lr': 0.0006}. Best is trial 40 with value: 0.8169939999999999.
[I 2023-08-14 15:13:47,364] Trial 45 finished with value: 0.740764 and parameters: {'alpha': 2, 'beta': 2.0, 'actor_l2_in': 64, 'actor_l3_in': 128, 'critic_l2_in': 128, 'critic_l3_in': 128, 'actor_lr': 0.0006}. Best is trial 40 with value: 0.8169939999999999.
[I 2023-08-14 15:15:00,329] Trial 46 finished with value: 0.54443 and parameters: {'alpha': 2, 'beta': 2.0, 'actor_l2_in': 192, 'actor_l3_in': 128, 'critic_l2_in': 192, 'critic_l3_in': 128, 'actor_lr': 0.0006}. Best is trial 40 with value: 0.8169939999999999.
[I 2023-08-14 15:16:19,654] Trial 47 finished with value: 0.8001179999999998 and parameters: {'alpha': 2, 'beta': 2.0, 'actor_l2_in': 64, 'actor_l3_in': 128, 'critic_l2_in': 64, 'critic_l3_in': 128, 'actor_lr': 0.0006}. Best is trial 40 with value: 0.8169939999999999.
[I 2023-08-14 15:17:39,999] Trial 48 finished with value: 0.7852379999999999 and parameters: {'alpha': 2, 'beta': 2.0, 'actor_l2_in': 128, 'actor_l3_in': 128, 'critic_l2_in': 128, 'critic_l3_in': 128, 'actor_lr': 0.0006}. Best is trial 40 with value: 0.8169939999999999.
[I 2023-08-14 15:18:56,989] Trial 49 finished with value: 0.63264 and parameters: {'alpha': 2, 'beta': 2.0, 'actor_l2_in': 192, 'actor_l3_in': 128, 'critic_l2_in': 192, 'critic_l3_in': 128, 'actor_lr': 0.0006}. Best is trial 40 with value: 0.8169939999999999.
