[I 2023-08-14 18:11:13,464] A new study created in memory with name: no-name-3c5516c4-bc42-48d2-a02d-3ee9653638ca
[I 2023-08-14 18:12:23,630] Trial 0 finished with value: 0.79958 and parameters: {'alpha': 4, 'beta': 2.5, 'actor_l2_in': 64, 'critic_l2_in': 192, 'actor_lr': 0.0003}. Best is trial 0 with value: 0.79958.
[I 2023-08-14 18:28:30,909] Trial 14 finished with value: 0.7296239999999999 and parameters: {'alpha': 4, 'beta': 2.5, 'actor_l2_in': 192, 'critic_l2_in': 192, 'actor_lr': 0.0007}. Best is trial 0 with value: 0.79958.
[I 2023-08-14 18:29:38,646] Trial 15 finished with value: 0.7937460000000001 and parameters: {'alpha': 4, 'beta': 3.0, 'actor_l2_in': 64, 'critic_l2_in': 512, 'actor_lr': 0.0003}. Best is trial 0 with value: 0.79958.
[I 2023-08-14 18:30:48,103] Trial 16 finished with value: 0.7854119999999999 and parameters: {'alpha': 4, 'beta': 3.0, 'actor_l2_in': 64, 'critic_l2_in': 192, 'actor_lr': 0.0003}. Best is trial 0 with value: 0.79958.
[I 2023-08-14 18:31:55,470] Trial 17 finished with value: 0.78001 and parameters: {'alpha': 4, 'beta': 3.0, 'actor_l2_in': 64, 'critic_l2_in': 512, 'actor_lr': 0.0003}. Best is trial 0 with value: 0.79958.
[I 2023-08-14 18:33:08,723] Trial 18 finished with value: 0.774784 and parameters: {'alpha': 2, 'beta': 3.0, 'actor_l2_in': 64, 'critic_l2_in': 256, 'actor_lr': 0.0003}. Best is trial 0 with value: 0.79958.
[I 2023-08-14 18:34:20,342] Trial 19 finished with value: 0.753874 and parameters: {'alpha': 4, 'beta': 3.0, 'actor_l2_in': 64, 'critic_l2_in': 128, 'actor_lr': 0.0004}. Best is trial 0 with value: 0.79958.
[I 2023-08-14 18:35:30,621] Trial 20 finished with value: 0.5495800000000001 and parameters: {'alpha': 4, 'beta': 3.0, 'actor_l2_in': 64, 'critic_l2_in': 64, 'actor_lr': 0.0008}. Best is trial 0 with value: 0.79958.
[I 2023-08-14 18:36:40,152] Trial 21 finished with value: 0.724454 and parameters: {'alpha': 4, 'beta': 2.5, 'actor_l2_in': 192, 'critic_l2_in': 512, 'actor_lr': 0.0006}. Best is trial 0 with value: 0.79958.
[I 2023-08-14 18:37:44,610] Trial 22 finished with value: 0.803136 and parameters: {'alpha': 4, 'beta': 2.5, 'actor_l2_in': 512, 'critic_l2_in': 512, 'actor_lr': 0.0001}. Best is trial 22 with value: 0.803136.
[I 2023-08-14 18:38:48,335] Trial 23 finished with value: 0.7826039999999999 and parameters: {'alpha': 4, 'beta': 2.0, 'actor_l2_in': 512, 'critic_l2_in': 512, 'actor_lr': 0.0001}. Best is trial 22 with value: 0.803136.
[I 2023-08-14 18:39:54,501] Trial 24 finished with value: 0.7696799999999999 and parameters: {'alpha': 4, 'beta': 2.5, 'actor_l2_in': 512, 'critic_l2_in': 512, 'actor_lr': 0.0001}. Best is trial 22 with value: 0.803136.
[I 2023-08-14 18:40:58,754] Trial 25 finished with value: 0.78875 and parameters: {'alpha': 4, 'beta': 3.0, 'actor_l2_in': 512, 'critic_l2_in': 192, 'actor_lr': 0.0005}. Best is trial 22 with value: 0.803136.
[I 2023-08-14 18:42:07,051] Trial 26 finished with value: 0.76186 and parameters: {'alpha': 2, 'beta': 2.5, 'actor_l2_in': 128, 'critic_l2_in': 512, 'actor_lr': 0.0007}. Best is trial 22 with value: 0.803136.
[I 2023-08-14 18:43:10,598] Trial 27 finished with value: 0.772616 and parameters: {'alpha': 4, 'beta': 2.5, 'actor_l2_in': 256, 'critic_l2_in': 512, 'actor_lr': 0.0001}. Best is trial 22 with value: 0.803136.
[I 2023-08-14 18:44:17,980] Trial 28 finished with value: 0.6512800000000001 and parameters: {'alpha': 4, 'beta': 2.0, 'actor_l2_in': 512, 'critic_l2_in': 192, 'actor_lr': 0.0003}. Best is trial 22 with value: 0.803136.
[I 2023-08-14 18:45:21,744] Trial 29 finished with value: 0.810308 and parameters: {'alpha': 4, 'beta': 3.0, 'actor_l2_in': 512, 'critic_l2_in': 192, 'actor_lr': 0.0003}. Best is trial 29 with value: 0.810308.
[I 2023-08-14 18:46:29,430] Trial 30 finished with value: 0.7685479999999999 and parameters: {'alpha': 4, 'beta': 2.0, 'actor_l2_in': 512, 'critic_l2_in': 192, 'actor_lr': 0.0003}. Best is trial 29 with value: 0.810308.
[I 2023-08-14 18:47:34,933] Trial 31 finished with value: 0.75159 and parameters: {'alpha': 4, 'beta': 3.0, 'actor_l2_in': 512, 'critic_l2_in': 192, 'actor_lr': 0.0003}. Best is trial 29 with value: 0.810308.
[I 2023-08-14 18:48:38,749] Trial 32 finished with value: 0.6747719999999999 and parameters: {'alpha': 4, 'beta': 3.0, 'actor_l2_in': 512, 'critic_l2_in': 192, 'actor_lr': 0.0003}. Best is trial 29 with value: 0.810308.
[I 2023-08-14 18:49:47,844] Trial 33 finished with value: 0.78916 and parameters: {'alpha': 4, 'beta': 3.0, 'actor_l2_in': 64, 'critic_l2_in': 256, 'actor_lr': 0.0002}. Best is trial 29 with value: 0.810308.
[I 2023-08-14 18:50:56,617] Trial 34 finished with value: 0.7530919999999999 and parameters: {'alpha': 2, 'beta': 3.0, 'actor_l2_in': 64, 'critic_l2_in': 512, 'actor_lr': 0.0003}. Best is trial 29 with value: 0.810308.
[I 2023-08-14 18:52:01,977] Trial 35 finished with value: 0.748552 and parameters: {'alpha': 4, 'beta': 3.0, 'actor_l2_in': 512, 'critic_l2_in': 192, 'actor_lr': 0.0001}. Best is trial 29 with value: 0.810308.
[I 2023-08-14 18:53:08,345] Trial 36 finished with value: 0.7732279999999999 and parameters: {'alpha': 2, 'beta': 2.5, 'actor_l2_in': 64, 'critic_l2_in': 512, 'actor_lr': 0.0002}. Best is trial 29 with value: 0.810308.
[I 2023-08-14 18:54:13,139] Trial 37 finished with value: 0.6858099999999999 and parameters: {'alpha': 4, 'beta': 2.5, 'actor_l2_in': 512, 'critic_l2_in': 64, 'actor_lr': 0.0003}. Best is trial 29 with value: 0.810308.
[I 2023-08-14 18:55:20,869] Trial 38 finished with value: 0.483962 and parameters: {'alpha': 4, 'beta': 3.0, 'actor_l2_in': 256, 'critic_l2_in': 256, 'actor_lr': 0.0009}. Best is trial 29 with value: 0.810308.
[I 2023-08-14 18:56:29,700] Trial 39 finished with value: 0.752832 and parameters: {'alpha': 2, 'beta': 2.5, 'actor_l2_in': 128, 'critic_l2_in': 128, 'actor_lr': 0.0001}. Best is trial 29 with value: 0.810308.
[I 2023-08-14 18:57:38,435] Trial 40 finished with value: 0.780644 and parameters: {'alpha': 4, 'beta': 3.0, 'actor_l2_in': 64, 'critic_l2_in': 192, 'actor_lr': 0.0008}. Best is trial 29 with value: 0.810308.
[I 2023-08-14 18:58:44,547] Trial 41 finished with value: 0.58034 and parameters: {'alpha': 4, 'beta': 2.5, 'actor_l2_in': 192, 'critic_l2_in': 512, 'actor_lr': 0.0006}. Best is trial 29 with value: 0.810308.
[I 2023-08-14 18:59:53,008] Trial 42 finished with value: 0.780226 and parameters: {'alpha': 4, 'beta': 2.5, 'actor_l2_in': 192, 'critic_l2_in': 512, 'actor_lr': 0.0006}. Best is trial 29 with value: 0.810308.
[I 2023-08-14 19:00:56,038] Trial 43 finished with value: 0.7089380000000001 and parameters: {'alpha': 4, 'beta': 2.5, 'actor_l2_in': 512, 'critic_l2_in': 512, 'actor_lr': 0.0004}. Best is trial 29 with value: 0.810308.
[I 2023-08-14 19:02:08,811] Trial 44 finished with value: 0.7454620000000001 and parameters: {'alpha': 4, 'beta': 2.5, 'actor_l2_in': 192, 'critic_l2_in': 64, 'actor_lr': 0.0005}. Best is trial 29 with value: 0.810308.
[I 2023-08-14 19:03:16,494] Trial 45 finished with value: 0.626644 and parameters: {'alpha': 4, 'beta': 2.5, 'actor_l2_in': 128, 'critic_l2_in': 512, 'actor_lr': 0.0009}. Best is trial 29 with value: 0.810308.
[I 2023-08-14 19:04:20,710] Trial 46 finished with value: 0.8032299999999999 and parameters: {'alpha': 4, 'beta': 2.0, 'actor_l2_in': 64, 'critic_l2_in': 512, 'actor_lr': 0.0007}. Best is trial 29 with value: 0.810308.
[I 2023-08-14 19:05:30,571] Trial 47 finished with value: 0.6920599999999999 and parameters: {'alpha': 4, 'beta': 2.0, 'actor_l2_in': 64, 'critic_l2_in': 192, 'actor_lr': 0.0007}. Best is trial 29 with value: 0.810308.
[I 2023-08-14 19:06:36,819] Trial 48 finished with value: 0.789352 and parameters: {'alpha': 4, 'beta': 2.0, 'actor_l2_in': 64, 'critic_l2_in': 512, 'actor_lr': 0.0007}. Best is trial 29 with value: 0.810308.
[I 2023-08-14 19:07:45,560] Trial 49 finished with value: 0.778414 and parameters: {'alpha': 2, 'beta': 2.0, 'actor_l2_in': 64, 'critic_l2_in': 128, 'actor_lr': 0.0003}. Best is trial 29 with value: 0.810308.
